회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
위월드,140660,통신 및 방송 장비 제조업,"이동위성통신안테나, 위성방송시스템",2013-12-26,12월,박찬구,http://www.wiworld.co.kr,대전광역시
코셋,189350,통신 및 방송 장비 제조업,광통신용 증폭기,2013-12-24,12월,"오치형, 주관종",http://coset.com,광주광역시
대동고려삼,178600,기타 식품 제조업,"인삼식품(홍삼진액, 홍삼정)",2013-12-20,06월,최 성 근,http://www.ddkorea.co.kr,충청남도
청광건설,140290,토목 건설업,"관도급, BTL, 자체사업",2013-12-20,12월,허숭,http://www.chungkwang.co.kr,서울특별시
한중엔시에스,107640,자동차 신품 부품 제조업,"자동차 신품 부품제조업(배기시스템부품, Electroinc, 전기차 밧데리 모듈 부품 등)",2013-12-10,12월,김환식,http://www.hjncs.com,경상북도
골프존데카,183410,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",골프거리측정기,2013-11-12,12월,정주명,http://www.golfbuddy.kr,경기도
수프로,185190,산업용 농·축산물 및 동·식물 도매업,조경수용 수목,2013-10-29,03월,채일,http://www.suppro.com,서울특별시
대주이엔티,114920,1차 철강 제조업,"이중보온관, 엘리베이터 가이드 레일",2013-07-01,12월,황광수,http://www.daejooent.co.kr,인천광역시
렌딩머신,179720,소프트웨어 개발 및 공급업,"신용평가솔루션, 온라인투자연계금융서비스",2013-07-01,12월,이상규,http://www.lendingmachine.co.kr,서울특별시
에스엔피제네틱스,086460,자연과학 및 공학 연구개발업,유전체 분석 서비스,2013-07-01,12월,신형두,http://www.snp-genetics.com,서울특별시
태양기계,116100,자동차 신품 부품 제조업,엔진부품,2013-07-01,12월,박창엽,http://www.sun-mc.co.kr,경기도
