current_price,volume,trade_price,date,start_price,high_price,low_price
687.619995,44700,,19970509,685.909973,693.200012,685.909973
672.099976,36800,,19970512,678.5,683.320007,667.659973
683.859985,36000,,19970513,673.080017,684.609985,669.01001
699.950012,51200,,19970515,684.73999,705.099976,684.73999
699.530029,50100,,19970516,702.51001,709.570007,695.929993
721.200012,56900,,19970519,710.409973,721.22998,710.409973
734.669983,62800,,19970520,723.159973,734.76001,722.349976
737.710022,64200,,19970521,735.299988,739.72998,729.320007
724.380005,60000,,19970522,737.179993,738.179993,723.539978
730.530029,53900,,19970523,723.669983,730.539978,715.530029
718.98999,39300,,19970526,724.710022,725.51001,717.349976
723.349976,39800,,19970527,719.820007,724.390015,716.51001
738.119995,56100,,19970528,724.969971,738.119995,724.969971
742.5,65100,,19970529,745.26001,749.369995,741.849976
746.359985,55200,,19970530,742.380005,752.289978,741
758.390015,84900,,19970602,758.919983,770.969971,756.880005
766.059998,60600,,19970603,758.890015,766.48999,753.359985
763.25,87900,,19970604,766.539978,774.47998,755.01001
765.669983,51300,,19970605,762.919983,766.77002,761.669983
775.01001,57000,,19970609,764.909973,775.02002,762.419983
769.830017,67100,,19970610,777.880005,781.51001,769.109985
765.789978,46200,,19970611,769.700012,770.580017,764.940002
774.659973,59700,,19970612,767.940002,777.880005,767.940002
789.150024,83700,,19970613,775.669983,789.400024,775.669983
789.049988,58700,,19970616,793.570007,796.809998,786.159973
792.289978,60000,,19970617,790.98999,798.76001,783.320007
773.210022,54300,,19970618,793.02002,799.539978,768.039978
770.950012,48700,,19970619,769.690002,779.169983,763.179993
770.219971,42200,,19970620,772.599976,775.609985,766.25
753.049988,31700,,19970623,759.330017,762.440002,751.849976
753.700012,34500,,19970624,751.630005,753.969971,747.289978
744.98999,37300,,19970625,753.719971,753.849976,742.52002
744.340027,44400,,19970626,746.070007,751.98999,741.719971
738.429993,42400,,19970627,743.390015,751.380005,737.97998
745.400024,29300,,19970630,746.299988,753.559998,744.210022
758.030029,37000,,19970701,744.97998,760.52002,744.669983
777.289978,52200,,19970702,763.390015,777.289978,763.390015
775.26001,51200,,19970703,778.820007,782.169983,773.27002
781.700012,47900,,19970704,776.02002,783.23999,773.900024
773.51001,38400,,19970707,777.700012,777.75,772.140015
767.73999,39600,,19970708,773,774,761.570007
771.98999,39400,,19970709,768.26001,772.23999,763.969971
767.77002,38300,,19970710,771.98999,773.169983,765.5
768.299988,39400,,19970711,766.909973,771.080017,762.710022
764.450012,40000,,19970714,767.169983,770.72998,763.609985
755.049988,42000,,19970715,762.929993,764.200012,748.469971
739.719971,44000,,19970716,750.349976,750.349976,737.590027
747.369995,41000,,19970718,737.22998,748.059998,736.710022
740.929993,27900,,19970721,741.02002,747.52002,736.919983
725.97998,34700,,19970722,740.890015,741.150024,723.460022
730.580017,31800,,19970723,723.559998,730.780029,721.669983
739.039978,40300,,19970724,729.419983,739.039978,724.919983
733.640015,43300,,19970725,739.820007,746.869995,733.590027
733.919983,28300,,19970728,732.559998,738.130005,730.909973
732.679993,29200,,19970729,733.679993,734.630005,731.409973
726.890015,25500,,19970730,733.630005,736.280029,726.059998
726.119995,25800,,19970731,724.780029,726.119995,721.400024
731.450012,29000,,19970801,726.840027,735.169983,726.789978
734.190002,25800,,19970804,729.659973,734.690002,729.23999
740.859985,33700,,19970805,734.369995,740.909973,733.659973
745.650024,34100,,19970806,740.039978,745.650024,739.679993
745.349976,34200,,19970807,746.380005,748.969971,743.400024
752.01001,34000,,19970808,745.969971,752.01001,745.909973
765.070007,35600,,19970811,762.77002,766.47998,762.359985
762.02002,35300,,19970812,766.26001,766.700012,761.799988
762.72998,33400,,19970813,762.98999,766.52002,760.940002
755.780029,35900,,19970814,762.780029,762.780029,753.659973
747.289978,29000,,19970818,747.840027,749.440002,745.369995
741.289978,31600,,19970819,746.460022,747.450012,737.539978
746.22998,34900,,19970820,741.159973,749.309998,735.369995
739.469971,33900,,19970821,745.75,746.690002,739.419983
736.619995,36200,,19970822,738.919983,742.280029,729.719971
741.76001,34900,,19970825,744.039978,746.98999,739.98999
734.030029,31400,,19970826,740.77002,740.77002,731.549988
730.280029,32700,,19970827,732.549988,735.72998,730.23999
716.859985,38300,,19970828,729.859985,731.359985,716.599976
704.27002,38800,,19970829,714.969971,718.609985,704.27002
682.200012,32300,,19970901,691.799988,697.380005,682.099976
688.780029,33200,,19970902,679.090027,688.780029,671.090027
688.630005,36200,,19970903,690.72998,697.440002,687.330017
687.98999,28800,,19970904,687.369995,690.190002,682.219971
700.919983,32900,,19970905,688.039978,701.359985,686.98999
697.97998,33600,,19970908,703.460022,703.650024,696.049988
688.969971,31100,,19970909,694.830017,694.830017,687.75
691.619995,27500,,19970910,687.52002,691.619995,685.650024
695.369995,27100,,19970911,690.5,695.369995,687.690002
699.330017,30500,,19970912,694.469971,699.75,693.609985
701.390015,26400,,19970918,700.809998,705.200012,700.809998
689.159973,29200,,19970919,700.570007,700.570007,689.159973
668.450012,29300,,19970922,678.77002,682.22998,666.950012
654.369995,26600,,19970923,666.559998,666.559998,654.369995
655.75,32200,,19970924,653.299988,658.580017,645.469971
647,32900,,19970925,655.219971,658.780029,643.309998
638.26001,28800,,19970926,644.380005,645.960022,637.289978
625.070007,26700,,19970929,625.440002,633.02002,622.030029
647.109985,32700,,19970930,623.929993,647.109985,623.309998
644.919983,33700,,19971001,646.859985,654.049988,644.919983
636.650024,27900,,19971002,644.440002,647.700012,633.700012
644.210022,31200,,19971006,644.679993,655.039978,644.130005
630.030029,26900,,19971007,642.25,642.25,629.460022
610.440002,29000,,19971008,627.679993,627.799988,610.190002
609.359985,28600,,19971009,607.48999,616.539978,601.130005
609.840027,24000,,19971010,612.820007,616.97998,607.390015
613,20800,,19971013,618.219971,619.340027,611.830017
620.679993,23900,,19971014,619.669983,627.330017,617.22998
604.73999,26000,,19971015,621.5,621.51001,602.820007
579.25,32400,,19971016,598.130005,598.130005,573.429993
585.48999,41300,,19971017,577.869995,592.840027,564.469971
565.640015,33000,,19971020,584.590027,585.400024,561
566.849976,46300,,19971021,559.77002,582.849976,554.580017
601.320007,45600,,19971022,569.469971,601.929993,569.469971
604.059998,62300,,19971023,602.98999,614.619995,593.960022
570.909973,50000,,19971024,596.330017,596.330017,569.799988
530.469971,36800,,19971027,549.309998,557.570007,529.119995
495.279999,45600,,19971028,522.390015,522.390015,492.299988
506.640015,59500,,19971029,500.049988,519.070007,486.640015
485.079987,63600,,19971030,499.649994,502.190002,480.540009
470.790009,50700,,19971031,476.079987,476.940002,462.829987
511.660004,64800,,19971103,497.109985,517.679993,487.670013
542.130005,62900,,19971104,514.080017,542.859985,514.080017
